FabricID,ContainerID,QtyRequired,CreatedOn,ItemDescription,Qty_Used,YarnID
16206,3731,236.22566404789,1/4/2021,Fine fleece engineered stripe Polyester/cotton 83/17 220 g/m2 BW,238,348
15926,4487,32.1875,1/4/2021,Jersey (30% recycled cotton/70% virgin cotton) Cotton 100% 160 g/m2 BW,35.7,498
15927,4588,0.44369230769231,1/4/2021,Rib stretch 1x1 (30% recycled cotton/70% virgin cotton) Cotton/elastane 97/3 300 g/m2 BW,0.2,20
15927,4487,14.346051282051,1/4/2021,Rib stretch 1x1 (30% recycled cotton/70% virgin cotton) Cotton/elastane 97/3 300 g/m2 BW,15,498
,1925,3,1/4/2021,,7.08,12
,4315,3.605,1/4/2021,Single sided collar,3,7
10087,4463,902.84908146787,1/4/2021,Pique stretch Cotton/elastane 95/5 220 g/m2 BW,903.12,5
10087,4390,730.7637776819,1/4/2021,Pique stretch Cotton/elastane 95/5 220 g/m2 BW,748.52,5
10087,4588,85.979624165777,1/4/2021,Pique stretch Cotton/elastane 95/5 220 g/m2 BW,69.1,20
,4366,101.00161975,1/4/2021,Single sided collar,101.8,7
,4366,49.38953,1/4/2021,Single sided cuff,49.4,7
,4345,81.083557,1/4/2021,Single sided collar,75.9,7
,4345,39.7247825,1/4/2021,Single sided cuff,39.7,7
13296,4187,676.33045905707,1/4/2021,Jersey stretch MVS Viscose/elastane 95/5 243 g/m2 BW,676.3,53
13296,4561,35.596339950372,1/4/2021,Jersey stretch MVS Viscose/elastane 95/5 243 g/m2 BW,35.6,19
10201,4187,19.138006412125,1/4/2021,Jersey airjet Viscose 100% 165 g/m2 BW,19.1,53
13296,4187,665.07938556068,1/4/2021,Jersey stretch MVS Viscose/elastane 95/5 243 g/m2 BW,664.92,53
13296,4561,35.004178187404,1/4/2021,Jersey stretch MVS Viscose/elastane 95/5 243 g/m2 BW,34.8,19
10201,4187,19.138006412125,1/4/2021,Jersey airjet Viscose 100% 165 g/m2 BW,23.48,53
14917,4330,87.803786771302,1/4/2021,Jersey feeder stripe snake  Polyester/cotton 49/51 170 g/m2 BW,87,193
14917,3905,111.36090029531,1/4/2021,Jersey feeder stripe snake  Polyester/cotton 49/51 170 g/m2 BW,112.8,41
14917,4256,349.0735913103,1/4/2021,Jersey feeder stripe snake  Polyester/cotton 49/51 170 g/m2 BW,338.24,174
14917,4390,164.89979466805,1/4/2021,Jersey feeder stripe snake  Polyester/cotton 49/51 170 g/m2 BW,222.8,5
12738,4330,12.422942910748,1/4/2021,Rib 1x1 (snake) Cotton 100% 200 g/m2 BW,14,193
12738,4284,12.422942910748,1/4/2021,Rib 1x1 (snake) Cotton 100% 200 g/m2 BW,12.92,7
